title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Mobile Cloud Computing: Foundations and Service Models,"D Huang, H Wu - 2017 - books.google.com",2017,https://books.google.de/books?hl=de&lr=&id=dupGDgAAQBAJ&oi=fnd&pg=PP1&dq=mobile+AND+cloud+computing+AND+transactions&ots=BTsmIq3z9N&sig=PDB9fpX5bd5IrB5oo9H6fmJE3hE,http://www.academia.edu/download/30382557/e-letter_positionpaper_mobicloud_dijiang_huang.pdf,,,1,156,No DOI available
Introduction to the ieee transactions on cloud computing,"R Buyya - IEEE Transactions on cloud computing, 2013 - computer.org",2013,https://www.computer.org/csdl/trans/cc/2013/01/tcc2013010003.pdf,https://www.computer.org/csdl/trans/cc/2013/01/tcc2013010003.pdf,,,1,43,No DOI available
Joint energy minimization and resource allocation in C-RAN with mobile cloud,"K Wang, K Yang… - … Transactions on Cloud …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/7393804/,https://arxiv.org/pdf/1509.00374,,,1,50,No DOI available
The physiology of the grid,"I Foster, C Kesselman, JM Nick… - Grid computing: making …, 2003 - Wiley Online Library",2003,https://onlinelibrary.wiley.com/doi/abs/10.1002/0470867167.ch8,https://ftp.utcluj.ro/pub/docs/cursuri/tarc/GRID/ogsa.pdf,,,1,4955,No DOI available
Hand held bar code readers or mobile computers with cloud computing services,"H Qu, YP Wang - US Patent 9,223,860, 2015 - Google Patents",2015,https://patents.google.com/patent/US9223860B2/en,No PDF available,,,1,149,No DOI available
A load balancing mechanism based on ant colony and complex network theory in open cloud computing federation,"Z Zhang, X Zhang - Industrial Mechatronics and Automation …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5538385/,https://www.researchgate.net/profile/Zehua_Zhang2/publication/224164158_A_load_balancing_mechanism_based_on_ant_colony_and_complex_network_theory_in_open_Cloud_Computing_federation/links/55c8941a08aeca747d66eb41.pdf,,,1,187,No DOI available
Introduction to cloud computing,"W Voorsluys, J Broberg, R Buyya - Cloud computing: Principles …, 2011 - Wiley Online Library",2011,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470940105.ch1,No PDF available,,,1,388,No DOI available
Honey bee behavior inspired load balancing of tasks in cloud computing environments,"PV Krishna - Applied Soft Computing, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1568494613000446,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3132.pdf,,,1,436,No DOI available
"Cloud computing: implementation, management, and security","JW Rittinghouse, JF Ransome - 2016 - taylorfrancis.com",2016,https://www.taylorfrancis.com/books/9781439806814,No PDF available,,,1,842,No DOI available
An intrusion detection and prevention system in cloud computing: A systematic review,"A Patel, M Taghavi, K Bakhtiyari, JC JúNior - Journal of network and …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S108480451200183X,https://www.researchgate.net/profile/Ahmed_Patel/publication/235417226_An_Intrusion_Detection_And_Prevention_System_In_Cloud_Computing_A_Systematic_Review/links/5a392e350f7e9be1402c7597/An-Intrusion-Detection-And-Prevention-System-In-Cloud-Computing-A-Systematic-Review.pdf,,,1,299,No DOI available
Addressing cloud computing security issues,"D Zissis, D Lekkas - Future Generation computer systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0167739X10002554,http://extev.syros.aegean.gr/papers/J50.pdf,,,1,1690,No DOI available
From cloud computing to cloud manufacturing,"X Xu - Robotics and computer-integrated manufacturing, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0736584511000949,No PDF available,,,1,1188,No DOI available
An analysis of security issues for cloud computing,"K Hashizume, DG Rosado… - Journal of internet …, 2013 - Springer",2013,https://link.springer.com/article/10.1186/1869-0238-4-5,https://link.springer.com/article/10.1186/1869-0238-4-5,,,1,541,No DOI available
Dynamic mobile cloud computing: Ad hoc and opportunistic job sharing,"N Fernando, SW Loke, W Rahayu - … on Utility and Cloud Computing  …, 2011 - computer.org",2011,https://www.computer.org/csdl/proceedings/ucc/2011/2116/00/06123509-abs.html,https://www.researchgate.net/profile/Niroshinie_Fernando/publication/220896000_Dynamic_Mobile_Cloud_Computing_Ad_Hoc_and_Opportunistic_Job_Sharing/links/541013410cf2f2b29a3e08f7.pdf,,,1,74,No DOI available
Framework for computation offloading in mobile cloud computing,"D Kovachev - IJIMAI, 2012 - dialnet.unirioja.es",2012,https://dialnet.unirioja.es/servlet/articulo?codigo=4114048,https://dialnet.unirioja.es/descarga/articulo/4114048.pdf,,,1,66,No DOI available
Collaborative location-based sleep scheduling for wireless sensor networks integratedwith mobile cloud computing,"C Zhu, VCM Leung, LT Yang… - IEEE Transactions on …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/6880323/,No PDF available,,,1,68,No DOI available
An Agent-based Optimization Framework for Mobile-Cloud Computing.,"P Angin, BK Bhargava - JoWUA, 2013 - web2.qatar.cmu.edu",2013,https://web2.qatar.cmu.edu/~mhhammou/15440-f15/assignments-f15/15440_PS2_Paper.pdf,https://web2.qatar.cmu.edu/~mhhammou/15440-f15/assignments-f15/15440_PS2_Paper.pdf,,,1,48,No DOI available
Collaborative task execution in mobile cloud computing under a stochastic wireless channel,"W Zhang, Y Wen, DO Wu - IEEE Transactions on Wireless …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/6846368/,http://www.ntu.edu.sg/home/ygwen/Paper/ZWW-TWC-14.pdf,,,1,79,No DOI available
Bringing IoT and cloud computing towards pervasive healthcare,"C Doukas, I Maglogiannis - … Services in Ubiquitous Computing  …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6296978/,https://www.researchgate.net/profile/Ilias_Maglogiannis/publication/261431852_Bringing_IoT_and_Cloud_Computing_towards_Pervasive_Healthcare/links/563c7e4708ae45b5d288eb41.pdf,,,1,212,No DOI available
Benefits and impact of cloud computing on 5G signal processing: Flexible centralization through cloud-RAN,"D Wubben, P Rost, JS Bartelt, M Lalam… - IEEE signal …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6923535/,No PDF available,,,1,157,No DOI available
Opportunities and challenges of cloud computing to improve health care services,"AMH Kuo - Journal of medical Internet research, 2011 - ncbi.nlm.nih.gov",2011,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3222190/,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3222190/,,,1,310,No DOI available
Mobile service clouds: A self-managing infrastructure for autonomic mobile computing services,"FA Samimi, PK McKinley, SM Sadjadi - Self-Managed Networks, Systems …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11767886_10,"ftp://nozdr.ru/biblio/kolxo3/Cs/CsLn/S/Self-Managed%20Networks,%20Systems,%20and%20Services,%202%20conf.,%20SelfMan%202006(LNCS3996,%20Springer,%202006)(ISBN%203540347399)(193s).pdf#page=138",,,1,58,No DOI available
Large scale cloudlets deployment for efficient mobile cloud computing,"L Tawalbeh, Y Jararweh, F Ababneh… - Journal of …, 2015 - search.proquest.com",2015,http://search.proquest.com/openview/933b99bb68f53e51d07cc5fe890e002d/1?pq-origsite=gscholar&cbl=136095,No PDF available,,,1,45,No DOI available
"A survey of fog computing: concepts, applications and issues","S Yi, C Li, Q Li - Proceedings of the 2015 workshop on mobile big data, 2015 - dl.acm.org",2015,https://dl.acm.org/citation.cfm?id=2757397,https://www.researchgate.net/profile/Shanhe_Yi/publication/300490582_A_Survey_of_Fog_Computing_Concepts_Applications_and_Issues/links/57bc58c408aefea8f0f69794/A-Survey-of-Fog-Computing-Concepts-Applications-and-Issues.pdf,,,1,472,No DOI available
"From cloud computing to mobile Internet, from user focus to culture and hedonism: the crucible of mobile health care and wellness applications","F Alagöz, AC Valdez, W Wilkowska… - … Computing and …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5704072/,https://www.researchgate.net/profile/Martina_Ziefle/publication/215747534_From_cloud_computing_to_mobile_Internet_from_user_focus_to_culture_and_hedonism_The_crucible_of_mobile_health_care_and_Wellness_applications/links/02bfe5128fa835bff6000000.pdf,,,1,58,No DOI available
Phone2Cloud: Exploiting computation offloading for energy saving on smartphones in mobile cloud computing,"F Xia, F Ding, J Li, X Kong, LT Yang, J Ma - Information Systems Frontiers, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s10796-013-9458-1,https://www.researchgate.net/profile/Xiangjie_Kong/publication/258163126_Phone2Cloud_Exploiting_computation_offloading_for_energy_saving_on_smartphones_in_mobile_cloud_computing/links/5537a3ce0cf218056e95665d/Phone2Cloud-Exploiting-computation-offloading-for-energy-saving-on-smartphones-in-mobile-cloud-computing.pdf,,,1,71,No DOI available
Decentralized and optimal resource cooperation in geo-distributed mobile cloud computing,"R Yu, J Ding, S Maharjan, S Gjessing… - IEEE Transactions …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/7268883/,https://ieeexplore.ieee.org/iel7/6245516/6558478/07268883.pdf,,,1,21,No DOI available
Task scheduling with dynamic voltage and frequency scaling for energy minimization in the mobile cloud computing environment,"X Lin, Y Wang, Q Xie, M Pedram - IEEE Transactions on …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/6985666/,No PDF available,,,1,66,No DOI available
